STNAM,FIPST,LEAID,ST_LEAID,LEANM,ALL_COHORT_1617,ALL_RATE_1617,MAM_COHORT_1617,MAM_RATE_1617,MAS_COHORT_1617,MAS_RATE_1617,MBL_COHORT_1617,MBL_RATE_1617,MHI_COHORT_1617,MHI_RATE_1617,MTR_COHORT_1617,MTR_RATE_1617,MWH_COHORT_1617,MWH_RATE_1617,CWD_COHORT_1617,CWD_RATE_1617,ECD_COHORT_1617,ECD_RATE_1617,LEP_COHORT_1617,LEP_RATE_1617,DATE_CUR
ALABAMA,01,0100005,AL-101,Albertville City,311,93,,,2,PS,12,GE50,97,90-94,1,PS,199,90-94,,,,,,,17AUG18
ALABAMA,01,0100006,AL-048,Marshall County,431,90,,,1,PS,8,GE50,63,90-94,2,PS,356,90,,,,,,,17AUG18
ALABAMA,01,0100007,AL-158,Hoover City,1153,93,,,60,GE90,301,89,68,75-79,40,GE90,682,95,,,,,,,17AUG18
ALABAMA,01,0100008,AL-169,Madison City,861,97,,,60,GE90,191,GE95,38,80-89,21,GE80,544,97,,,,,,,17AUG18
ALABAMA,01,0100011,AL-167,Leeds City,110,GE95,,,1,PS,32,GE90,15,GE50,7,GE50,55,80-89,,,,,,,17AUG18
ALABAMA,01,0100012,AL-115,Boaz City,170,85-89,,,4,PS,2,PS,29,GE80,5,PS,129,85-89,,,,,,,17AUG18
ALABAMA,01,0100013,AL-205,Trussville City,341,98,,,9,GE50,40,GE90,6,GE50,10,GE50,275,GE95,,,,,,,17AUG18
ALABAMA,01,0100030,AL-102,Alexander City,217,85-89,,,,,76,85-89,9,GE50,,,132,90-94,,,,,,,17AUG18
ALABAMA,01,0100060,AL-104,Andalusia City,110,GE95,,,3,PS,45,GE90,,,1,PS,61,GE95,,,,,,,17AUG18
ALABAMA,01,0100090,AL-105,Anniston City,135,80-84,,,,,129,85-89,1,PS,2,PS,3,PS,,,,,,,17AUG18
ALABAMA,01,0100100,AL-106,Arab City,195,GE95,,,3,PS,1,PS,4,PS,,,186,GE95,,,,,,,17AUG18
ALABAMA,01,0100120,AL-107,Athens City,413,89,,,6,GE50,75,75-79,29,GE80,7,GE50,293,90-94,,,,,,,17AUG18
