STATE,YEAR,Year_Budget,TotalBudget
ALABAMA,2016,ActualSpendingPerPupilState,9243.286
ALASKA,2016,ActualSpendingPerPupilState,17631.31
ARIZONA,2016,ActualSpendingPerPupilState,7530.644
ARKANSAS,2016,ActualSpendingPerPupilState,9639.397
CALIFORNIA,2016,ActualSpendingPerPupilState,10993.27
COLORADO,2016,ActualSpendingPerPupilState,9484.178
CONNECTICUT,2016,ActualSpendingPerPupilState,18762.78
DELAWARE,2016,ActualSpendingPerPupilState,14610.66
DISTRICT OF COLUMBIA,2016,ActualSpendingPerPupilState,20235.0
FLORIDA,2016,ActualSpendingPerPupilState,8920.033
GEORGIA,2016,ActualSpendingPerPupilState,9718.79
HAWAII,2016,ActualSpendingPerPupilState,13748.0
IDAHO,2016,ActualSpendingPerPupilState,7135.805
INDIANA,2016,ActualSpendingPerPupilState,9745.009
IOWA,2016,ActualSpendingPerPupilState,10534.48
KANSAS,2016,ActualSpendingPerPupilState,9951.617
KENTUCKY,2016,ActualSpendingPerPupilState,9861.806
LOUISIANA,2016,ActualSpendingPerPupilState,11048.87
MAINE,2016,ActualSpendingPerPupilState,13120.53
MARYLAND,2016,ActualSpendingPerPupilState,14205.81
MASSACHUSETTS,2016,ActualSpendingPerPupilState,15440.77
MICHIGAN,2016,ActualSpendingPerPupilState,10453.74
MINNESOTA,2016,ActualSpendingPerPupilState,11737.55
MISSISSIPPI,2016,ActualSpendingPerPupilState,8659.82
MISSOURI,2016,ActualSpendingPerPupilState,9882.257
MONTANA,2016,ActualSpendingPerPupilState,11224.2
NEBRASKA,2016,ActualSpendingPerPupilState,11794.87
NEVADA,2016,ActualSpendingPerPupilState,8959.984
NEW HAMPSHIRE,2016,ActualSpendingPerPupilState,15328.14
NEW JERSEY,2016,ActualSpendingPerPupilState,17719.15
NEW MEXICO,2016,ActualSpendingPerPupilState,9692.617
NEW YORK,2016,ActualSpendingPerPupilState,22371.33
NORTH CAROLINA,2016,ActualSpendingPerPupilState,8792.007
NORTH DAKOTA,2016,ActualSpendingPerPupilState,12813.22
OHIO,2016,ActualSpendingPerPupilState,11185.09
OKLAHOMA,2016,ActualSpendingPerPupilState,8078.165
OREGON,2016,ActualSpendingPerPupilState,10299.24
PENNSYLVANIA,2016,ActualSpendingPerPupilState,14022.0
RHODE ISLAND,2016,ActualSpendingPerPupilState,15385.49
SOUTH CAROLINA,2016,ActualSpendingPerPupilState,10199.04
SOUTH DAKOTA,2016,ActualSpendingPerPupilState,9085.21
TENNESSEE,2016,ActualSpendingPerPupilState,8680.531
TEXAS,2016,ActualSpendingPerPupilState,8931.258
UTAH,2016,ActualSpendingPerPupilState,6918.48
VERMONT,2016,ActualSpendingPerPupilState,18536.14
VIRGINIA,2016,ActualSpendingPerPupilState,11431.72
WEST VIRGINIA,2016,ActualSpendingPerPupilState,11136.8
WISCONSIN,2016,ActualSpendingPerPupilState,11432.68
WYOMING,2016,ActualSpendingPerPupilState,16441.95
ALABAMA,2017,ActualSpendingPerPupilState,9513.052
ALASKA,2017,ActualSpendingPerPupilState,17952.8
ARIZONA,2017,ActualSpendingPerPupilState,7901.481
ARKANSAS,2017,ActualSpendingPerPupilState,9755.605
CALIFORNIA,2017,ActualSpendingPerPupilState,11727.23
COLORADO,2017,ActualSpendingPerPupilState,9716.551
CONNECTICUT,2017,ActualSpendingPerPupilState,19125.84
DELAWARE,2017,ActualSpendingPerPupilState,15180.45
DISTRICT OF COLUMBIA,2017,ActualSpendingPerPupilState,21974.0
FLORIDA,2017,ActualSpendingPerPupilState,9075.39
GEORGIA,2017,ActualSpendingPerPupilState,10154.41
HAWAII,2017,ActualSpendingPerPupilState,14960.0
IDAHO,2017,ActualSpendingPerPupilState,7465.937
INDIANA,2017,ActualSpendingPerPupilState,9932.552
IOWA,2017,ActualSpendingPerPupilState,10842.22
KANSAS,2017,ActualSpendingPerPupilState,10455.11
KENTUCKY,2017,ActualSpendingPerPupilState,10120.25
LOUISIANA,2017,ActualSpendingPerPupilState,11205.97
MAINE,2017,ActualSpendingPerPupilState,13651.2
MARYLAND,2017,ActualSpendingPerPupilState,14847.86
MASSACHUSETTS,2017,ActualSpendingPerPupilState,16040.3
MICHIGAN,2017,ActualSpendingPerPupilState,10645.68
MINNESOTA,2017,ActualSpendingPerPupilState,11996.41
MISSISSIPPI,2017,ActualSpendingPerPupilState,8736.886
MISSOURI,2017,ActualSpendingPerPupilState,10140.45
MONTANA,2017,ActualSpendingPerPupilState,11324.85
NEBRASKA,2017,ActualSpendingPerPupilState,12089.05
NEVADA,2017,ActualSpendingPerPupilState,9319.908
NEW HAMPSHIRE,2017,ActualSpendingPerPupilState,15730.82
NEW JERSEY,2017,ActualSpendingPerPupilState,18289.32
NEW MEXICO,2017,ActualSpendingPerPupilState,9888.314
NEW YORK,2017,ActualSpendingPerPupilState,23097.66
NORTH CAROLINA,2017,ActualSpendingPerPupilState,9072.064
NORTH DAKOTA,2017,ActualSpendingPerPupilState,13203.49
OHIO,2017,ActualSpendingPerPupilState,11695.36
OKLAHOMA,2017,ActualSpendingPerPupilState,7939.695
OREGON,2017,ActualSpendingPerPupilState,10675.69
PENNSYLVANIA,2017,ActualSpendingPerPupilState,14410.0
RHODE ISLAND,2017,ActualSpendingPerPupilState,15813.29
SOUTH CAROLINA,2017,ActualSpendingPerPupilState,10532.37
SOUTH DAKOTA,2017,ActualSpendingPerPupilState,9829.244
TENNESSEE,2017,ActualSpendingPerPupilState,9000.999
TEXAS,2017,ActualSpendingPerPupilState,9285.069
UTAH,2017,ActualSpendingPerPupilState,7153.631
VERMONT,2017,ActualSpendingPerPupilState,18536.14
VIRGINIA,2017,ActualSpendingPerPupilState,11884.99
WEST VIRGINIA,2017,ActualSpendingPerPupilState,11400.51
WISCONSIN,2017,ActualSpendingPerPupilState,11944.29
WYOMING,2017,ActualSpendingPerPupilState,16536.87
ALABAMA,2018,ActualSpendingPerPupilState,9695.174
ALASKA,2018,ActualSpendingPerPupilState,17823.7
ARIZONA,2018,ActualSpendingPerPupilState,8167.066
ARKANSAS,2018,ActualSpendingPerPupilState,9927.65
CALIFORNIA,2018,ActualSpendingPerPupilState,11666.42
COLORADO,2018,ActualSpendingPerPupilState,10115.71
CONNECTICUT,2018,ActualSpendingPerPupilState,19916.27
DELAWARE,2018,ActualSpendingPerPupilState,15521.74
DISTRICT OF COLUMBIA,2018,ActualSpendingPerPupilState,22759.0
FLORIDA,2018,ActualSpendingPerPupilState,9346.021
GEORGIA,2018,ActualSpendingPerPupilState,10756.18
HAWAII,2018,ActualSpendingPerPupilState,15808.0
IDAHO,2018,ActualSpendingPerPupilState,7750.337
INDIANA,2018,ActualSpendingPerPupilState,10150.86
IOWA,2018,ActualSpendingPerPupilState,11107.11
KANSAS,2018,ActualSpendingPerPupilState,11110.61
KENTUCKY,2018,ActualSpendingPerPupilState,11109.14
LOUISIANA,2018,ActualSpendingPerPupilState,11460.44
MAINE,2018,ActualSpendingPerPupilState,13874.96
MARYLAND,2018,ActualSpendingPerPupilState,14761.73
MASSACHUSETTS,2018,ActualSpendingPerPupilState,16908.13
MICHIGAN,2018,ActualSpendingPerPupilState,11028.27
MINNESOTA,2018,ActualSpendingPerPupilState,12311.78
MISSISSIPPI,2018,ActualSpendingPerPupilState,8893.312
MISSOURI,2018,ActualSpendingPerPupilState,10497.22
MONTANA,2018,ActualSpendingPerPupilState,11550.28
NEBRASKA,2018,ActualSpendingPerPupilState,12293.67
NEVADA,2018,ActualSpendingPerPupilState,9294.349
NEW HAMPSHIRE,2018,ActualSpendingPerPupilState,16873.37
NEW JERSEY,2018,ActualSpendingPerPupilState,18864.39
NEW MEXICO,2018,ActualSpendingPerPupilState,9582.113
NEW YORK,2018,ActualSpendingPerPupilState,24059.07
NORTH CAROLINA,2018,ActualSpendingPerPupilState,9376.643
NORTH DAKOTA,2018,ActualSpendingPerPupilState,13183.73
OHIO,2018,ActualSpendingPerPupilState,12063.46
OKLAHOMA,2018,ActualSpendingPerPupilState,8221.772
OREGON,2018,ActualSpendingPerPupilState,11281.77
PENNSYLVANIA,2018,ActualSpendingPerPupilState,14951.34
RHODE ISLAND,2018,ActualSpendingPerPupilState,16058.5
SOUTH CAROLINA,2018,ActualSpendingPerPupilState,10797.33
SOUTH DAKOTA,2018,ActualSpendingPerPupilState,9959.169
TENNESSEE,2018,ActualSpendingPerPupilState,9333.566
TEXAS,2018,ActualSpendingPerPupilState,9513.759
UTAH,2018,ActualSpendingPerPupilState,7589.922
VERMONT,2018,ActualSpendingPerPupilState,18536.14
VIRGINIA,2018,ActualSpendingPerPupilState,12215.09
WEST VIRGINIA,2018,ActualSpendingPerPupilState,11220.69
WISCONSIN,2018,ActualSpendingPerPupilState,12281.57
WYOMING,2018,ActualSpendingPerPupilState,16223.68
ALABAMA,2019,ActualSpendingPerPupilState,10078.78
ALASKA,2019,ActualSpendingPerPupilState,18573.38
ARIZONA,2019,ActualSpendingPerPupilState,8542.731
ARKANSAS,2019,ActualSpendingPerPupilState,10147.13
CALIFORNIA,2019,ActualSpendingPerPupilState,13433.51
COLORADO,2019,ActualSpendingPerPupilState,10937.76
CONNECTICUT,2019,ActualSpendingPerPupilState,20540.25
DELAWARE,2019,ActualSpendingPerPupilState,16186.26
