STATE,Cohort_2015_2016,Rate_2015_2016,Cohort_2016_2017,Rate_2016_2017,Cohort_2017_2018,Rate_2017_2018,Cohort_2018_2019,Rate_2018_2019,Cohort_2019_2020,Rate_2019_2020,Cohort_2020_2021,Rate_2020_2021
ALABAMA,145983.0,76.37863463969659,110458.0,81.77140077821012,141949.0,77.20124716553288,133900.0,78.63908045977011,136374.0,78.2516891891892,134727.0,78.34078212290503
ALASKA,25039.0,62.145089285714285,25788.0,63.026315789473685,26634.0,63.012244897959185,26166.0,64.48953974895397,25445.0,64.14315352697095,24658.0,63.09623430962343
ARIZONA,202193.0,65.79858379228953,204878.0,64.63300492610837,217413.0,65.93661446681581,220323.0,65.40512820512821,230145.0,64.28891257995735,229510.0,63.60964607911173
ARKANSAS,94906.0,76.65116279069767,100439.0,77.26591289782245,102892.0,75.85276532137519,107551.0,74.13154172560114,109168.0,74.78496503496504,105360.0,74.46748251748252
CALIFORNIA,1305135.0,76.37577290612704,1256965.0,76.08952603861907,1312181.0,74.94748916645425,1291970.0,75.70834396529727,1285366.0,75.11141094834232,1285025.0,75.47911261027504
COLORADO,170104.0,66.98900462962963,172656.0,67.21741637831603,182296.0,67.01950162513543,185387.0,67.8324439701174,186766.0,67.66086497890295,188020.0,67.5601703940362
CONNECTICUT,111552.0,73.43032329988851,112344.0,74.78443449048152,109143.0,74.23068552774755,114230.0,75.2850368809273,114442.0,74.58826583592939,110921.0,75.7203125
DELAWARE,24280.0,73.60057471264368,24843.0,75.3225806451613,25004.0,74.25888324873097,24086.0,74.13636363636364,23753.0,73.77333333333333,28858.0,69.68237704918033
DISTRICT OF COLUMBIA,14734.0,68.41875,14841.0,69.54430379746836,15052.0,64.54787234042553,15438.0,64.54245283018868,14213.0,68.09803921568627,13356.0,66.65865384615384
FLORIDA,536648.0,72.6032423208191,556875.0,73.40407470288625,575615.0,76.65201192250373,586513.0,77.50516986706056,585167.0,81.48835516739447,584906.0,81.10935251798561
GEORGIA,339545.0,73.55546425636811,340998.0,78.90245051837888,358065.0,74.80289193302892,366360.0,74.6699064074874,359477.0,76.59248554913295,356087.0,76.26870990734142
HAWAII,33425.0,73.05555555555556,36126.0,77.0,37198.0,75.1,34873.0,74.2,36420.0,78.0,36642.0,77.9
IDAHO,59328.0,68.36707746478874,61642.0,67.09701492537313,63797.0,67.4826498422713,65279.0,67.15620214395099,64124.0,67.65396825396826,64631.0,65.49369085173501
ILLINOIS,403979.0,74.84477796052632,388832.0,75.3510900863842,476193.0,77.19833496571988,,,,,,
INDIANA,189501.0,76.11591179976162,199637.0,75.52343292325718,195993.0,75.8853185595568,203765.0,75.59138309549945,193860.0,77.34879912663756,194278.0,76.25207067918276
IOWA,87286.0,76.85291700903862,89776.0,75.693893129771,93675.0,75.37400145243282,93507.0,76.19270449521002,95650.0,75.51849166062364,97023.0,75.54713560551124
KANSAS,94346.0,71.56290064102564,95279.0,71.94261006289308,98949.0,71.8455098934551,102230.0,71.31748466257669,102083.0,72.34862385321101,102144.0,72.17739463601532
KENTUCKY,125221.0,79.11015911872705,126299.0,79.6306146572104,129584.0,78.22137404580153,130359.0,79.28837471783295,128434.0,78.48229613733906,130184.0,77.81461864406779
LOUISIANA,126116.0,69.29964221824687,130437.0,70.98648648648648,133292.0,72.75993640699524,139142.0,73.07739938080495,132809.0,74.67817896389325,130372.0,75.14905362776025
MAINE,35333.0,74.24372384937239,36030.0,74.47983870967742,36339.0,73.09689922480621,36192.0,72.69106463878327,38079.0,71.62969004893964,37777.0,71.04029605263158
MARYLAND,156657.0,78.67961165048544,155786.0,78.22330097087378,162655.0,77.22245762711864,159426.0,75.9789029535865,170007.0,76.64225941422595,165346.0,77.14767932489451
MASSACHUSETTS,195710.0,74.47254004576659,199016.0,74.87866817155756,200525.0,73.83877878950187,204251.0,73.63324937027708,205282.0,74.53768844221105,178096.0,72.78295819935691
MICHIGAN,306280.0,69.1381446751507,303991.0,69.17804397768296,317728.0,68.86015911872705,314768.0,69.18905775075987,311591.0,69.91064287911412,305378.0,68.56048014773776
MINNESOTA,166522.0,69.42222222222222,173665.0,69.35198938992042,179264.0,68.78589420654912,182614.0,69.578,181335.0,69.48108108108109,182266.0,68.40455212922173
MISSISSIPPI,91091.0,74.02919708029196,93327.0,73.99785714285714,97847.0,73.77333333333333,93697.0,73.9679572763685,93274.0,76.42217898832685,101394.0,77.28984575835476
MISSOURI,166279.0,76.13107314468766,168163.0,75.40041819132253,169839.0,74.50626880641926,169181.0,75.12071535022355,168372.0,74.26171875,166320.0,73.43846899224806
MONTANA,27972.0,66.78144329896907,28114.0,67.12474437627812,28038.0,66.33653846153847,27981.0,66.00292397660819,28288.0,67.306,28405.0,66.13255360623782
NEBRASKA,55517.0,70.09740259740259,56889.0,70.14127906976744,59069.0,69.76678445229682,60191.0,69.64564220183486,62262.0,69.0241935483871,63040.0,69.88907657657657
NEVADA,93167.0,65.7927927927928,103138.0,72.21774193548387,103528.0,72.4087591240876,103985.0,72.1,108287.0,71.30208333333333,110788.0,70.98550724637681
NEW HAMPSHIRE,36887.0,73.74675324675324,35527.0,74.51288659793815,36077.0,72.67469879518072,35612.0,72.13157894736842,35338.0,71.8233173076923,34163.0,71.06057007125891
NEW JERSEY,266738.0,78.85837015218459,267738.0,79.02717127607957,268092.0,78.83467741935483,270207.0,78.8755294117647,268129.0,79.07475547275268,285356.0,75.43714535137495
NEW MEXICO,72523.0,66.96330275229357,76009.0,65.41275167785236,82545.0,64.78456591639872,81789.0,65.79470198675497,81421.0,67.27677100494233,78982.0,66.1044776119403
NEW YORK,556824.0,72.14368748310355,557341.0,72.94266419491525,566325.0,72.32033008252063,584252.0,72.53642628599557,579610.0,72.68990267639903,583616.0,73.78146561979538
