,YEAR,STATE,StateFIP,CensusRegion,CensusDivision,FiscalEffortPercentage,FiscalEffortIncomePercentage,PredictedCostPerPupilState,ActualSpendingPerPupilState,StateEnrollment,TeacherSalary25_30,NonTeacherSalary25_30,TeacherSalary31_40,NonTeacherSalary31_40,TeacherSalary41_50,NonTeacherSalary41_50,TeacherSalary51_60,NonTeacherSalary51_60,SalaryParityAge25,SalaryParityAge35,SalaryParityAge45,SalaryParityAge55,TotalTeacherSalary
0,2016,ALABAMA,1,South,East South Central,0.0376014,0.0403342,15253.68,9243.286,728234.0,21424.07,28148.34,24919.22,32828.32,29130.38,38374.37,32792.91,43303.33,0.7611132,0.7590767,0.7591104,0.7572839,108266.58
1,2016,ALASKA,2,West,Pacific,0.0468559,0.0561201,10487.4,17631.31,123448.0,29299.77,32277.69,34323.1,37052.49,39914.07,43198.14,45417.38,48545.79,0.9077406,0.9263373,0.9239767,0.9355575,148954.32
2,2016,ARIZONA,4,West,Mountain,0.025707,0.0284033,11626.91,7530.644,929288.0,21297.6,31704.26,24621.27,35950.17,27816.88,41050.9,30695.34,45302.91,0.6717584,0.6848723,0.6776192,0.6775577,104431.09
3,2016,ARKANSAS,5,South,West South Central,0.0429278,0.0422332,14499.23,9639.397,477095.0,24270.48,30704.86,27833.72,34882.05,31496.4,39797.78,34882.95,43975.61,0.7904443,0.7979381,0.7914109,0.7932342,118483.55
4,2016,CALIFORNIA,6,West,Pacific,0.0312145,0.0361411,15329.86,10993.27,5985559.0,31267.91,37677.59,36482.43,43665.66,42029.13,50747.91,47337.85,57050.0,0.8298808,0.8354948,0.8281942,0.8297608,157117.32
5,2016,COLORADO,8,West,Mountain,0.0290747,0.032881,10414.65,9484.178,880678.0,21160.28,30446.08,24422.95,35046.75,28349.44,40502.2,31502.09,45336.68,0.6950086,0.6968678,0.6999482,0.6948476,105434.76
6,2016,CONNECTICUT,9,Northeast,New England,0.0360889,0.0383299,11022.69,18762.78,499494.0,27599.45,34977.56,32630.84,40765.72,37947.91,47911.32,42879.88,53782.07,0.7890615,0.800448,0.7920446,0.7972895,141058.08000000002
7,2016,DELAWARE,10,South,South Atlantic,0.0277452,0.0426498,13057.85,14610.66,113889.0,27694.16,34994.16,32972.49,40417.52,37307.08,47129.91,42087.57,53014.45,0.7913937,0.8157971,0.7915797,0.7938887,140061.3
8,2016,DISTRICT OF COLUMBIA,11,South,South Atlantic,0.020496,0.0506271,25075.01,20235.0,48336.0,26232.88,36203.13,32319.97,44759.25,39157.78,55636.68,48497.46,65725.46,0.7246027,0.7220847,0.7038123,0.7378794,146208.09
9,2016,FLORIDA,12,South,South Atlantic,0.0294099,0.0292619,12565.25,8920.033,2776933.0,24842.89,30049.48,28271.97,34108.06,32103.04,38784.68,35482.06,42826.36,0.8267328,0.8288941,0.827725,0.8285097,120699.95999999999
10,2016,GEORGIA,13,South,South Atlantic,0.0353939,0.0434088,15623.29,9718.79,1727085.0,21583.67,30357.46,25185.6,35278.87,29067.74,40890.16,32619.23,45794.26,0.7109843,0.7139005,0.7108737,0.7122995,108456.23999999999
11,2016,HAWAII,15,West,Pacific,0.0256664,0.0301603,13748.0,13748.0,179902.0,26296.4,30206.88,30524.03,34528.33,34725.67,39435.09,38378.54,43538.8,0.8705432,0.8840285,0.880578,0.881479,129924.64000000001
12,2016,IDAHO,16,West,Mountain,0.0305083,0.0307278,8770.953,7135.805,273558.0,20800.3,25738.57,23863.42,29602.42,27204.85,33627.07,30126.88,37505.5,0.8081374,0.8061308,0.8090162,0.8032655,101995.45000000001
13,2016,INDIANA,18,Midwest,East North Central,0.0297512,0.0347852,11139.06,9745.009,1000952.0,22445.65,28162.17,25786.83,32135.45,29560.9,36946.52,32942.64,41046.63,0.7970144,0.8024418,0.8000996,0.8025663,110736.02
14,2016,IOWA,19,Midwest,West North Central,0.036429,0.0452688,9871.402,10534.48,505304.0,24789.23,29425.77,28231.27,33132.35,32015.04,37569.29,35052.62,41409.95,0.8424327,0.8520755,0.8521599,0.846478,120088.16
15,2016,KANSAS,20,Midwest,West North Central,0.0358609,0.0409523,10557.38,9951.617,490676.0,20346.42,27607.5,23100.77,31248.32,26121.2,35545.47,29029.92,39314.67,0.7369888,0.7392642,0.7348671,0.738399,98598.31
16,2016,KENTUCKY,21,South,East South Central,0.0366564,0.0405475,11070.43,9861.806,686259.0,23122.99,27907.62,26466.31,32602.42,30892.81,37890.84,34776.66,42569.04,0.8285547,0.8117897,0.8153108,0.8169475,115258.77
17,2016,LOUISIANA,22,South,West South Central,0.0345889,0.0395754,16888.72,11048.87,655890.0,22839.19,29695.22,26724.95,34412.71,30986.49,40227.59,34907.45,45408.69,0.7691199,0.776601,0.7702796,0.7687395,115458.08
